id;Imie;Nazwisko;Stopien
1583;Haruszyñska;Kanczewski;7
1584;Ksenik;Podeszwiñski;5
1585;Tenor;Zorski;2
1586;T¹dos;Kutscha;3
1587;Ratkie;Seuchter;9
1588;Risan;Lechert;5
1589;Forsell;Bogoziñski;8
1590;Kalenikowicz;Ko³otaj;5
1591;Ojdowski;Maguda;1
1592;Nalewko;Prêbiñska;10
1593;Sieniak;Gregorowski;3
1594;Zbrós;Lachwicki;8
1595;Zaradowska;Siewacki;1
1596;Starkus;Molewko;5
1597;Pajtak;Sworek;8
1598;Kowelik;Raszyk;4
1599;Karpus;Ignacok;10
1600;Socharczyñska;Kazaluk;1
1601;Brutko;Dusik;7
1602;Klingeuberg;Rubasza;3
1603;B³êdarzewska;Soll;9
1604;Biwarz;Rozponczyk;4
1605;Symchowicz;Nowak-Ha³as;3
1606;Wojdman;Klimzak;5
1607;Armatez;Ekkert;1
1608;Burmistrzek;Bar¿ykowski;7
1609;Ochojski;Smedra;9
1610;Kutasik;Kryczyn;1
1611;Liwarz;Pochopien;5
1612;Gupowski;Sobczyn;4
1613;Zródelski;Dytnarski;9
1614;Krojnik;Bia³odny;1
1615;Lagiewicz;Dzimer;5
1616;Karwa³;Wudaszewski;7
1617;Karosiewicz;Safraniuk;3
1618;Graczew;Krawêtkowski;2
1619;Binter;Kalig;10
1620;Torbowski;Obyc;6
1621;Pod³awska;Iljanowski;3
1622;Oszczepaliñski;Eœwi³;3
1623;Trebo;Bucyr;1
1624;Sawierska;Ficygowski;5
1625;Elwerowska;Andrianiuk;2
1626;Lemanen;Lêckiewicz;3
1627;Jupowicz;Martyniew;1
1628;Gerdyma;Panol;4
1629;Smiczak;Blachau;1
1630;Perrier;Koliñski;6
1631;Spichtinger;Moritzhuber;1
1632;Fraut;Germosz;4
1633;Krzostka;Telefus;6
1634;Dziok;Wincek;3
1635;Ciuchmecki;Kleinwächter;5
1636;Palicewicz;Lutrzyk;5
1637;Jatejko;Zelmanowski;4
1638;Obuch;GoŸniczak;4
1639;Szo³ochow;Kolojecka;8
1640;Lapot;GuŸlicka;8
1641;Szatniewski;Gornal;2
1642;Bansewicz;Niewójt;1
1643;Wyciel;Fojerowska;9
1644;Stolarz;Kowalrus;4
1645;Reinka;Grzeskow;6
1646;Gebetner;Tajchreber;1
1647;Krzuœ;Pokrêt;10
1648;¯ele¿niaków;Haubiec;7
1649;Oswieja;Dryer;6
1650;Vaterkowski;Jelenkowski;7
1651;Frysz³ok;Mormol;8
1652;Gagoliñska;G¹decki;3
1653;Labech;Skoczen;3
1654;Kublin;Fuliñski;2
1655;Kszusz;Ga³agus;9
1656;Glejewska;Czara;1
1657;Marmu³owski;Koszyka;1
1658;Kugatow;Woroczyñska;5
1659;Równiak;Kucyj;4
1660;Lechan;Hemard;3
1661;Szypilenko;Gonarczyk;1
1662;Otulski;Neszper;5
1663;Stobieniecki;Lukaszcyk;6
1664;Stareñczyk;Sa³apa³a;10
1665;Chohura;Dmóchowska;5
1666;Paciask;Loch;5
1667;Swuliñski;Przonek;6
1668;Siudymak;Bujewicz;9
1669;Hinzinger;Pawo³a;5
1670;G³aszczak;Huj;3
1671;Rybusiewicz;Bywalec;
1672;Michalski;Fesyk;3
1673;B³onisz;BanaŸkiewicz;3
1674;Smolen;Slezenko;4
1675;Cierechowicz;Petrycyn;10
1676;Studuñska;Bioly;6
1677;Ozorowski;Klinszpor;10
1678;Gonsiorek;Terla;3
1679;Witomierz;Pujer;1
1680;Marcilonek;Dziêgieæ;6
1681;Boluban;Krêzak;1
1682;Dranski;Stahula;7
1683;£apie¿o;Fi¹ncek;8
1684;Korzanecki;Pasiewa³a;1
1685;Niemoj;Knappe;3
1686;Korolew;Duseñko;9
1687;Wê¿owski;Kreciak;3
1688;Dosewa;Hoinisch;3
1689;Ewsieniuk;Skubatz;3
1690;¯yczek;Chabreszewski;1
1691;Wêz;Horeglad;1
1692;Chrabo³owski;£owysz;1
1693;Kobasiak;Szarzecka;1
1694;Rezemerowski;Majoher;6
1695;Hetzig;Mistacka;2
1696;Grymal;Myszorek;4
1697;Piaœciñski;Dresza;7
1698;SledŸ;Gwarolecka;2
1699;Wirsich;Kodrycki;6
1700;Cinika;O¿ych;1
1701;Grosgalik;Ogurowska;9
1702;Biesiedny;Kliñkiewicz;4
1703;Rozwendowicz;Stanulen;3
1704;Delerum;Kabica;4
1705;Wierzchoñ;Wi³kojæ;10
1706;Bie¿añski;Blemewska;5
1707;Bodzior;Miêckowski;10
1708;Schnella;Marcok;3
1709;Tonta;Œwier¿y;5
1710;Sniegula;Wyszkonc;3
1711;Miœluk;Kamarat;4
1712;Korporowicz;Holewka;3
1713;Kopsz;Gruska;4
1714;Galoff;Szoko³owska;2
1715;Mieszewicz;Kondera;3
1716;Cuchraj;Mayejczuk;10
1717;Matus;Prosciñski;9
1718;Oglodek;Borsukowicz;3
1719;Kozestañski;Budai;1
1720;Lopik;Postarowska;2
1721;Krüer;Szotomski;10
1722;Krystyañczuk;Widet;4
1723;Wandryk;Cukiernik;8
1724;Kutas;¯ezniak;1
1725;Chilicz;Py³at;5
1726;Nieby³owiec;Krzechka;8
1727;Bubienec;Kidalla;7
1728;Wonik;Chotaj;2
1729;Kirchof;Jesica;7
1730;Woytynowski;Zalaskiewicz;3
1731;Wojskowska;Komalewska;3
1732;Mantlewicz;Slimul;7
1733;Krusziñski;Chasyszyn;9
1734;Veltuzen;Indroszun;1
1735;Kordisz;Pi¿niakowski;10
1736;Dró¿dek;Pinieñszczyk;4
1737;Szko³da;Wiarus;1
1738;Roksata;Pazmandi;10
1739;Brodzwicz;Za¿uliñski;2
1740;Zegard³o;Kusyn;1
1741;Rajt;Nikolajski;3
1742;Kairowicz;Ku³tuniak;3
1743;Szycitowski;Hejnat;4
1744;Fenecki;Selerowski;4
1745;Trydul;Hilzy;6
1746;£ukszan;Kiszkorno;7
1747;Garbaczenek;Lepowicz;8
1748;Marcoñ;Poczo³ek;10
1749;Gryrzkiewicz;Piastoñ;9
1750;Pocirznicki;¯arnowski;10
1751;Artyn;Wcislak;3
1752;Moyseowicz;Szczeœko;1
1753;Mozdrzeñ;Perfumowski;1
1754;Ma³olepszy;Glodt;3
1755;Scheinkönig;Wentoch;3
1756;Germasz;Bryczak;2
1757;Dominiarz;Pocipka;7
1758;Schuberth;Asybawska;1
1759;Gedanitz;Patroszewski;8
1760;Pawelczuk;Panimatko;5
1761;Nidjol;Ortatowska;5
1762;£uboñska;Propola;2
1763;Szlechetka;Czarnobilski;1
1764;Dziumyk;Hadaschik;1
1765;Curi³³a;Barosik;4
1766;Blajnik;Dybis;1
1767;Chopiorski;Acewicz;9
1768;Wocieszak;Topic;8
1769;Ciercuszkiewicz;Hodorowicz;6
1770;Szepitko;Boesch;1
1771;B³az;Chodubowska;9
1772;P³ochocki;Cerszy;1
1773;;Nierubliszewski;7
1774;Mahfoudia;Szrott;4
1775;Korleto;Rechwa³;9
1776;Rind;Fuzak;1
1777;Prarat;Blesa;3
1778;Panke;Windelboth;9
1779;Freinig;Batorowski;3
1780;Bojdowski;Nabagies;10
1781;Czompa;Olañski;5
1782;Nagoœ;S³owucka;5
1783;D¹biak;Szoser;1
1784;Toja;Nozel;1
1785;Cyprygoñska;Aninewicz;10
1786;Unrug;Kanoszenok;7
1787;Kulka-Dembowski;Chruœcin;1
1788;Krajner;Nowotarski;9
1789;Gronatowicz;Klonz;9
1790;Lustofia;Szczerad³owski;1
1791;Hojdzieczko;Reteñska;5
1792;£akomy-Sp³awski;Deskler;1
1793;Szymadera;Krausel;10
1794;Tetelbaum;Grêdzika;9
1795;Luboisz;Poziomkowski;4
1796;Czacharyn;Kwicieñ;2
1797;Œcisiñski;Wilecki;5
1798;Tylingo;Jakimiak;5
1799;Kandas;Busche;9
1800;£au¿adis;Hajse;2
1801;Czuksanow;Streczan;4
1802;Nozdera;Giercak;5
1803;£akatyszewski;Czerechow;1
1804;Bohdanow;Reizenberger;7
1805;Domderowicz;K³apucki;2
1806;Sitnikow;Jules;3
1807;Kamus;Jurski;4
1808;Matyñka;Okienczuk;2
1809;Fasolka;Krzêciasz;7
1810;Kirenberg;KuŸmierek;5
1811;Siadczyñska;Stukator;10
1812;Rokal;Poslednik;2
1813;S¹siad;Surobot;1
1814;Damczuk;Krzyw¹s;10
1815;Fartuszniak;Erdei;8
1816;Kuzniarski;Niedbalka;8
1817;Œpi¿ak;£êbkowski;9
1818;Szmyrczyk;Nun;3
1819;Wieczfiñski;Siczewski;8
1820;Zawadko;Ziemieñczuk;7
1821;Pargol;Tatañ;1
1822;Zgrzebnik;Go³y;3
1823;Pr¹czka;£ukjanow;10
1824;Kurêdys;Krystkowicz;7
1825;Puchlew;Studzicka;1
1826;Glaeske;Drapa;9
1827;Naczko;Czat³os;5
1828;Szpynek;Bi¿ewski;1
1829;Tauchman;Doleszin;4
1830;Karasch;Gudakowski;10
1831;Kolasko;Bage;7
1832;Grejæ;Hobrowski;6
1833;Kossatz;Wierbol;6
1834;Parawan;Kuk³a;10
1835;Burho;Lackowiak;3
1836;Buike;Harolejewicz;1
1837;Saradowska;£oskiewicz;7
1838;Kurykowska;Umêcki;10
1839;Bary³o;Henenfeld;1
1840;Brod;Habaczyñska;6
1841;Skomurski;Bourg;4
1842;KuŸniecoff;Chlasta³a;5
1843;Wilkens;Wojlekun;7
1844;Onufryjenko;Zyc;4
1845;Kwaca³a;Trugu³a;5
1846;Darasz;Cewald;7
1847;Bletele;Nanie;7
1848;Krasnowolski;Stasirej;1
1849;Skrzybolska;Sobusik;9
1850;Hech;Skoropis-Jo³tuchowski;1
1851;Stegienko;Kropsch;6
1852;Morkunas;Dekker;10
1853;Sawow;Kizyw;8
1854;Lazanek;Rembek;3
1855;Pyroziak;Sowizra³;5
1856;Waplak;Rudziejewski Rudziewicz;4
1857;Kener;Rostojewska;4
1858;Jaciubek;Skubecka;3
1859;Dêbniewski;Krzy¿ania;4
1860;S¹dkowski;Komosiak;2
1861;Bagieñski;Dzieæmirowska;8
1862;Taubel;Remidowicz;1
1863;Petryszka;Jendrzejcik;4
1864;Blaœkiewicz;Nieszczesna;1
1865;Bagliñska;Podstawka;1
1866;Skrz¹ca;Machnic;1
1867;Makrocki;Harbunowicz;10
1868;Krzeziñska;Imporowicz;6
1869;Labasiñski;Œwierzewski;2
1870;Ku¿atkowska;Wójtynowska;8
1871;Siejbik;Stawujek;1
1872;Szwo³ek;Go³abczak;5
1873;Moryn;Witkosz;6
1874;Bartluk;Wawrausz;8
1875;Linettej;Aromiec;4
1876;¯eñczyk;Par¿ych;6
1877;Goczarek;Pipio³kowski;7
1878;Chluchnik;Sopiel;4
1879;Wiener;Ladrañski;5
1880;Kunczewicz;Grycik;9
1881;BŸdzil;Stoprawa;2
1882;Marekwia;Betkierowski;1
1883;Nojmann;Choro¿yñski;10
1884;Po³oszynowicz;Skutniewski;2
1885;Drapczewska;Marcelerowicz;7
1886;Wolczoch;Tysa;2
1887;B¹dzul;Rozmys³o;4
1888;Kwocza³a;Czy¿ycki;1
1889;Kropi³owska;Skorupka;3
1890;Romskicki;Chtiej;1
1891;Michejda;Jonkojc;3
1892;Wiepoñ;Kusnierczak;9
1893;Figus;¯urowicz;5
1894;Sasaga;Gruetner;1
1895;Ró¿ogórski;Ru¿ek;1
1896;Chamczyk;Tynebor;1
1897;Wieprzêc;Sznejtus;8
1898;Dukuñska;Wa³aœkiewicz;7
1899;Charab;Widacki;3
1900;Traubman;Sletc;1
1901;Stochliñski;£egocki;1
1902;Szel¹gowski;Miedwiecki;2
1903;Zaj;Stachanczyk;5
1904;Justrzenka;Strekier;10
1905;Garnastajewa;Bolla;9
1906;Piotowski;Komlew;4
1907;Oberlam;Zaskiewicz;8
1908;S³adaczka;Himiak;3
1909;Ró¿;Kierbiæ;7
1910;Sejmowicz;Niemietz;1
1911;PuzmujŸniak;£ajc;9
1912;Wolloch;Cudzyñska;3
1913;Kostniak;Blaszkowski;2
1914;Putelberger;Bazornik;5
1915;Niesbecka;ChwiedŸ;9
1916;Roesner;Micieñski;9
1917;Czicha;Purat;9
1918;Bresler;Gomberg;1
1919;Zerndt;Waldosz;5
1920;Pruchenko;Sterpak;7
1921;Prolan;Burkowiecki;4
1922;Dumski;Lombarowicz;3
1923;Patrolik;Hawruto;1
1924;Chychowicz;Kubeæ;6
1925;Fraihoefer;Hojdas;6
1926;Michaciñska;Ferañski;2
1927;Smuchlerz;Fry³ow;1
1928;Carenkow;Szczetyna;1
1929;Pa³uta;Szmerda;7
1930;Wolfam;Czekon;8
1931;Figna;Peæ;3
1932;Patomir;Cuzanowski;1
1933;Dromowicz;Rzekêc;9
1934;Perteñczuk;Ga³ydyk;3
1935;Klins;£ajszyk;9
1936;Szawkiewicz;Szembrowicz;9
1937;Patruszka;Szprega;6
1938;Kosma;Puig;4
1939;Kondziewski;Kurchowska;4
1940;Maciong;Tronczak;6
1941;Sojke;Cyjer;2
1942;Mitrewicz;Drabicki;2
1943;Krajbich;Gumniczak;8
1944;Kasztelnik;Szabliñski;9
1945;Kokocinski;Suchanik;2
1946;Pêdziszczak;Arêdz;4
1947;Gej³o;Fr¹czczek;4
1948;Joahimowicz;Burzelow;1
1949;Drabikowski;Rogksz;4
1950;Teichman;Fortyk;7
1951;Dziewieciarowa;Briswitz;2
1952;Augestad;Fidomski;4
1953;Krzemieñ;Chodmowska;9
1954;Kaniuch;Wajchbrot;1
1955;Demirok;Kanclerys;5
1956;Ejzenband;Smendowski;3
1957;Kuzmicz;Szajnda;4
1958;Welzant;Klejbor;5
1959;Homala;Barzykowski;8
1960;Ha³ubka;Jarmó³owicz;8
1961;Treszczakowski;Herden;10
1962;Dziduszko;Kornosz;2
1963;Dulemba;Betlej;1
1964;Ochental;Marciukowska;1
1965;Bagnucki;Matian;6
1966;Mi³aszewicziute;Stekmiler;3
1967;Kretchmann;Zapa³ta;5
1968;Du³a;Gazka;5
1969;Chwatko;Kasalka;3
1970;Glenszczuk;Mrachatz;1
1971;Boncarewicz;Wachstil;9
1972;Pluszcz;Bigajczyk;1
1973;Fielas;£o¿owska;9
1974;Stekelorom;Skiero;2
1975;Trasek;Swab;10
1976;Biegelewicz;Tury³a;1
1977;Ralba;Machrocki;3
1978;£o¿ko;Burcy;1
1979;IŸmanowski;Niemaszek;5
1980;Ka³aharski;Szeszkis;3
1981;Lubleniecka;Szlamczyk;1
1982;Lawasidu;Tamañski;8
1983;Szczeszkowiak;Dmachel;5
1984;Szurakowski;Hangel;3
1985;Mo³odziñski;Foksewicz;4
1986;Gwido³a;Piersiecka;6
1987;Psiakowski;Fereta;3
1988;Jankulowski;Sobiereiski;6
1989;Ge³omej;Framski;8
1990;Enzman;Kocóñ;8
1991;Gutycz;Te³tak;9
1992;Kleingarten;Miso³a;1
1993;Makoszewski;Cabiszak;5
1994;Sztobrym;Truchowski;1
1995;Machalica;Modzelik;2
1996;Kadewski;Poczewski;6
1997;Atrêbska;Wazia;3
1998;Mulier;Brzezawski;9
1999;Iwanis;Sig³owy;1
2000;Toszak;£owny;2
2001;St¹per;Piertow;3
2002;Tomaschewska;Rosga;6
2003;Cuzan;Kalamarz;6
2004;Hodczak;Cepe³owicz;5
2005;Dzaran;Tatañczuk;8
2006;Mo³duch;Ossadnik;3
2007;Moczykowski;Kutyno;8
2008;Werszynin;Irnazarow;7
2009;Sza³akowska;Tel¹ka;9
2010;Konachawicz;W³odarz;10
2011;Strzepa;Hid¿ow;1
2012;Budzaniec;Korbyla;7
2013;Kordiuk;Majchrzanowska;3
2014;Migacka;Licznierski;10
2015;Dawi³owski;Lalowski;3
2016;Masjonis;Kondro;2
2017;Wasilulis;Zentel;3
2018;Ryndziuk;Gamboœ;2
2019;Rokszyc;Galla;2
2020;Pokrowski;Tyndyko;2
2021;Kotelorz;Rudek;3
2022;Lux;Kolnasiuk;6
2023;Himmel;Pukorski;8
2024;Krusznik;Kosztrzewa;1
2025;Mo³dasik;Wiersza³owicz;4
2026;Czarneckyj;Astran;6
2027;Dziêkoñski;Œcibiur;9
2028;Grubieñ;Nils;3
2029;PodŸciañska;Rajfert;4
2030;Nawojski;Dr¹bik;9
2031;Pogorza³ek;Kubanka;7
2032;Maœtakowski;Nacel;8
2033;Dumat;Babul;3
2034;Szwajosz;Jagniontkowski;3
2035;Znieralska;Spiewaczek;8
2036;Bo¿owiæ;Piero¿ek;3
2037;Zarawski;Ly¿niak;2
2038;Datkowski;Wójkiewicz;8
2039;Kuryna;Zamulak;3
2040;Koreywo;Jacuchno;7
2041;Szczodryk;Chodylin;2
2042;Kulsicki;Zuchniewski;3
2043;Klinath;Waluszek;7
2044;Piêczak;Hladziuk;4
2045;Chadaniewicz;Ho³dyñski;5
2046;Kosart;Rachowski;5
2047;Pagiñski;Sopy³a;8
2048;Coppa;Wszelaki;5
2049;Buck;Koehn;3
2050;Neyendorff;Schutte;3
2051;Brozkiewicz;Janczarczyk;7
2052;Ima;Cebulka;6
2053;Osowik;Kostarczyk;5
2054;Staryczeñko;Werbliñski;7
2055;Ojczak;Mixtacki;6
2056;Kulesiak;Bimmler;3
2057;Jarmaczek;Liniek;9
2058;Tuszyner;Wasylek;9
2059;¯adykowicz;Byd¹¿ek;4
2060;Treffon;Miniatorski;2
2061;K³ymeñko;Koffman;8
2062;Mr¹ga;Faul;6
2063;Potyczkin;Wachon;10
2064;Haik;Œlifirz;9
2065;Pager;£uner;7
2066;Rojzenbejn;Krawsz;6
2067;Ciêpiel;¯ytniak;8
2068;Woltyñski;Obrêczak;3
2069;Klibengajtis;Tyjeñski;7
2070;Hlasny;Dorke;1
2071;Laschkiewicz;Mikulski;1
2072;Dzuk;Rantarek;3
2073;Wyrwys;Zas³onka;7
2074;Rekoñ;Gerhards;7
2075;Fliger;Einchenbaum;1
2076;Abstawski;Peczalska;6
2077;Hayd;Siemann;7
2078;Sobieszczak;Pajuk;5
2079;Gawryjak;Resztor;1
2080;Rochenbach;Borzyczkowski;5
2081;Rieken;Bruskiewicz;7
2082;Hatadaj;Rzymieniuk;3
2083;Zymiera;Spychowski;10
2084;Hamcarczyk;Mo³dak;5
2085;Posmykiewicz;W³ó¿a;5
2086;Buczaniewicz;Bozewicz;1
2087;Milicz;Bundalska;1
2088;Julia;Wajberg;1
2089;Skuda;Bagoñ;7
2090;Krezemont;Pilipów;2
2091;Purpur;Zinowski;6
2092;Bolsêga;Burdyka;2
2093;Kasiañczyk;Kamaæ;10
2094;W¹grzyniak;Lotcholc;6
2095;Markewicz;Meœ;1
2096;Wranic;Goliberczuch;6
2097;Germazja;Lendeck;1
2098;Milcz;Puszkarczuk;1
2099;Mierzlak;Miko³asek;5
2100;Hnenna;Winnowski;9
2101;Bovis;Wierzchoñska;1
2102;Lêc;Chytruñ;5
2103;¯mudz;Lagerman;7
2104;Ostro¿ny;Markafka;9
2105;Lipianin;Knossalla;5
2106;Petrelewicz;Ziêtka;7
2107;Birkos;Ku¿mak;6
2108;Prud³o;Ramiaczek;4
2109;Ajdocka;Szaluga;6
2110;Stoimenow;Wazanow;1
2111;Przespalewska;Szwanel;9
2112;Jaszkewicz;Kowali;10
2113;Czemplik;Spioska;2
2114;No¿ykowski;Siewczyñski;8
2115;Hollek;Protazy;5
2116;Hawelek;Maczyta;2
2117;Raka;Dziêdziuro;2
2118;Spoczyñski;Balcenak;2
2119;Prosakiewicz;KoŸniewski;7
2120;Junknykel;Polt;3
2121;Czemski;Wytkowski;2
2122;Ziogas;Stokes;10
2123;Rogwa³o;Mo¿dzierski;6
2124;Syka;Drublaniec;1
2125;Aramski;Samolej;6
2126;Pergoda;Ulrichs;10
2127;Tredlewski;Jaborek;3
2128;Smurek;Puhlman;1
2129;Zbrzyna;MaŸnio;8
2130;Kiczmar;Dziergaj;1
2131;Nawroch;Koszeñska;1
2132;Munda³a;Dymitrzak;7
2133;Wawar;Zadorocki;4
2134;Swendowska;Arseniew;2
2135;Beront;Dungfeld;9
2136;Marszeniuk;Dubynka;1
2137;Repety³o;Chwieszczeniuk;2
2138;O³yniec;Spleciniak;10
2139;Kurzapski;Brzemieniewska;9
2140;Deutszmanek;Kohutyñski;8
2141;Szpanelewski;Parer;10
2142;Szczypel;¯upañski;1
2143;Bykowy;Singa;5
2144;Dietmar;Ozia³o;5
2145;Benedig;Sucher;1
2146;Romiæ;Palij;2
2147;Denys;Weidl;3
2148;Apanasionek;Zbomirski;6
2149;£añdoch;Muchala;6
2150;Lankosch;¯ylak;8
2151;Wyszkon;Sadulski;3
2152;Zbiesz;Tobalski;9
2153;Nadrzeczna;Szostkowicz;4
2154;Smo³¹g;Kobut;6
2155;£yszczyk;Napierala;1
2156;Szarupko;Nikolajew;4
2157;Sucholaski;Kaszczot;9
2158;Dolebski;Wo³enkiewicz;6
2159;Kumiêga;Nakwacki;10
2160;Dottfried;Mak;10
2161;Bielczyk;Czuryt;6
2162;Manion;Koloszczyk;5
2163;Sladeczek;Wesso³ek;3
2164;Odroœlak;Herschfeld;10
2165;Kostic;Sapik;1
2166;Cyrsorz;K³at;9
2167;Drahowicz;Banko;1
2168;Dustor;Mêdzi³o;7
2169;Karakostas;Gniota;1
2170;Ciepieuch;Gressel;2
2171;¯iniawko;Zadêbski;8
2172;Krê¿lewski;Pipiela;9
2173;Jaskroœ;Wyrozumski;1
2174;Obrzemski;Trêder;1
2175;Komudo;Denieusz;6
2176;Dedrychowski;Aderek;5
2177;Newlaczyl;Klohn;3
2178;¯aleñska;Nestorko;4
2179;Korzel;Szadura;6
2180;Romañczykiewicz;Krzywakowski;6
2181;Grapentyn;Helden;8
2182;Muœcio;Skrobon;9
2183;£ozynyk;Spytka;
2184;Uglik;Zoracki;9
2185;Bosel;Skrzynowski;6
2186;D¿awaœ;Hulewicz;6
2187;Selerski;Niedzielewski;9
2188;Jendrasiak;Metzigier;2
2189;Gizler;Namienta;7
2190;Ruækowski;Na³êcz-Mroczkowski;5
2191;Ronin;Mathiasz;6
2192;Poma³êcka;Hanszel;7
2193;Gard³owicz;Perczew;10
2194;Luterek;Cecelon;9
2195;Krawitowski;Gieœko;10
2196;£azorowska;Flamerska;3
2197;Konopiuk;Kobtelus;7
2198;Miêkuszek;Torszyna;4
2199;Kabott;Wienciœ;10
2200;Kubarzewska;Demianczyk;6
2201;Sznacki;Me¿erycki;5
2202;Pieszkow;Szempeliñski;2
2203;Pfeiffer;Cichorzewski;9
2204;Czerepuszka;Pleæka;4
2205;Gomulczyk;Szypel;1
2206;Polowaczyk;P³atoœ;7
2207;Czarnousik;Dogadko;1
2208;Karwski;Zywolewski;8
2209;Herink;Sapior;1
2210;Wawrzuczek;Zulski;1
2211;Œniderska;Bralak;2
2212;Bo¿y;Urdzela;10
2213;Bregida;Rzêsita;3
2214;Szymonajæ;Gumara;9
2215;Nisoñska;Stachaczek;1
2216;Wojciszyn;Pruskowska;8
2217;Koldaczuk;Dregulski;7
2218;Drygañczuk;Cebulewicz;5
2219;Solañ;Longe;5
2220;Gelner;Barterak;1
2221;Gabrynowicz;Felda;9
2222;Danylik;Sebulke;2
2223;Lisiczka;Podskrobek;7
2224;Bachub;Bli¿niñski;2
2225;Capiga;Cwieluch;6
2226;Kunchel;Mierzlikin;2
2227;Szaniec;¬lezarczyk;6
2228;Kukowiak;Bubienko;9
2229;Biernoth;Pyzowski;1
2230;S¹pio³o;Feodorowska;1
2231;Kêpra;Minerski;10
2232;Solarczyk;Bojski;2
2233;Mendrych;Fogielman;9
2234;Gwisdalla;Z³omawiec;10
2235;Machort;Kot vel Kotyñski;10
2236;Birembaum;Œwiertkowska;5
2237;Palc;Karajewski;9
2238;Ciechonczuk;Pryszek;1
2239;Krzy¿tostaniak;Sejna;9
2240;Niakowski;So³oga;2
2241;Blizniak;Wadomski;2
2242;Gasparjan;Mukomi³ow;2
2243;Grodzki;Kutiañska;1
2244;G¹ta;Flirtak;8
2245;Krzys³ek;Kressin;10
2246;Skrzeczewski;Tuliks;4
2247;Syniczyn;Melak;4
2248;Magdon;Wrangborg;1
2249;Rupik;Abromait;9
2250;£agdan;Kopijka;1
2251;Cazman;Janiszczak;6
2252;Burolach;Wawióra;5
2253;Charszlak;Gonzalez;9
2254;Taradada;Gidaj;2
2255;Oziemski;Pramka;2
2256;Heineman;Dega;4
2257;Stry¿ens;Gieroim;10
2258;Sznajser;Madan;1
2259;Brattke;P³aczkiewicz;9
2260;Kretiuk;Figut;2
2261;Wabowska;Ziemieciewicz;5
2262;Staryczanko;Baktowska;8
2263;Bychcik;Grzeziak;8
2264;Bornsztein;S³¹biñski;8
2265;Szrlej;Sprums;6
2266;Hasenfeld;Di¿ewski;3
2267;Soda;Skomar;2
2268;Hrymniak;Sabacki;10
2269;Szwinto;Jaraminek;1
2270;Zyski;Wiebik;5
2271;W¹tarski;Laszczyszyn;1
2272;Anto³;Brzyniarska;1
2273;Blucha;Klesiek;1
2274;Nartz;Felandysz;4
2275;Jurkszak;Bewszko;9
2276;Biedol;Perfisz;5
2277;Grilec;Klemsch;8
2278;Konczar;¯elazów;7
2279;Dudajc;Storzewska;2
2280;Jadwisiñczak;Kukiewicz;4
2281;£ubowski;D¿ugata;5
2282;Janusiuk;Kraya;2
2283;Dyrowicz;Œwitluk;4
2284;Dziurliñska;G³ówczyk;2
2285;Ros³owiec;Ostruk;1
2286;Turoboœ;Newling;10
2287;Glinga;Kaliñski;1
2288;Bociurski;Derków;9
2289;Gieronim;Bajoñczak;8
2290;Okroja;Kazibowska;10
2291;Bejgowicz;Baltas;1
2292;Derow;Ciê¿artowicz;3
2293;Lozak;Zelingier;3
2294;Arciuch;Cartman;1
2295;Bociora;Rychterewicz;5
2296;Chudym;Gulbertowicz;10
2297;Nyzak;G¹tkiewicz;1
2298;Dziemionko;Jarowaja;4
2299;£yczków;Pikala;1
2300;Springmajer;Dudich;5
2301;Braniszewski;Jawieñ;1
2302;Wohanko;Cebela;9
2303;Fobicka;Horud;1
2304;Furmonkiewicz;Kszysztoszek;5
2305;Dubka vel D¹bek;Steiber;8
2306;Feldgebel;Ko³omajski;1
2307;Telonszka;Derlacz;2
2308;Jazgalska;Zarenberg;2
2309;Pokrywczyñski;Róg;1
2310;Schmeling;Chodej;10
2311;Tomacha;Ledarski;9
2312;Ligêziñski;Bla¿k;10
2313;Krzyczmoñska;Akien;6
2314;Zentel;Patoczka;5
2315;Dokiel;Wiesiora;3
2316;Kinschuber;Stoltny;7
2317;Maranowicz;Niescierewska;5
2318;Kutlewicz;Pontychowicz;3
2319;Tifik;Macak;2
2320;Murawicz;Wochowski;7
2321;Ternali;Domasz;5
2322;Porabik;Rogers;3
2323;Szapiczan;Pedrasik;7
2324;Mendelewicz;Tuluœ;6
2325;Godosek;Sipfa;2
2326;Duryczek;£ocha;6
2327;Kralko;Karchel;10
2328;Canderska;Oksiedzka;6
2329;¯e¿niczak;Chajkin;10
2330;Ho¿enka;Gordek;3
2331;Kozienko;Boryœ;9
2332;Brylak;Hrybek;10
2333;Thrun;Sztertewach;1
2334;Igryzek;Gromniak;10
2335;Ra¿kowska;Wyrzycki;1
2336;Morhardt;Œlagowski;3
2337;Krulikiewicz;Hurakowska;4
2338;Szma³da;Poskosz;9
2339;Fusztej;Jakubczyk;7
2340;Magedorn;Borczom;3
2341;Krapkowski;Wicenpichler;4
2342;Czeredniczak;Krzoski;9
2343;Sielaszczuk;Stawiñski;1
2344;Bara³kiewicz;Sierski;9
2345;Zajfen;Kwiliñski;5
2346;Sa³añski;Szwarckopf;10
2347;Pietraszczuk;Lubna³;3
2348;Szerbart;Cyref;4
2349;Datraszewska;Danasczyk;10
2350;Le¿uchowski;Buzat;5
2351;Umbra¿un;Ch¹bierska;10
2352;Bro¿yc;Nossow;8
2353;Dratt;Tadeuszczyk;1
